pdbid,-logKd/Ki,protein_name,set,dataset
3zzf,0.4,ACETYLGLUTAMATE KINASE,general,train
3gww,0.45,TRANSPORTER,general,train
1w8l,0.49,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A,general,train
3fqa,0.49,"GLUTAMATE-1-SEMIALDEHYDE 2,1-AMINOMUTASE",general,train
1zsb,0.6,CARBONIC ANHYDRASE 2,general,train
4obv,0.75,PYRIDOXAL-DEPENDENT DECARBOXYLASE DOMAIN PROTEIN,general,train
1wkm,0.82,METHIONINE AMINOPEPTIDASE,general,train
3k41,0.82,CATION-DEPENDENT MANNOSE-6-PHOSPHATE RECEPTOR,general,train
4eu3,0.82,SUCCINYL-COA:ACETATE COENZYME A TRANSFERASE,general,train
2w97,0.96,EUKARYOTIC TRANSLATION INITIATION FACTOR 4E,general,train
1p0y,1.0,"RIBULOSE-1,5 BISPHOSPHATE CARBOXYLASE/OXYGENASE",general,train
2b1r,1.0,HYPOTHETICAL PROTEIN SLR0953,general,train
2d2v,1.0,HYPOTHETICAL PROTEIN SLR0953,general,train
1aw1,1.05,TRIOSEPHOSPHATE ISOMERASE,general,train
1maw,1.1,TRYPTOPHANYL-TRNA LIGASE,general,train
3fl9,1.11,DIHYDROFOLATE REDUCTASE,general,train
5eb2,1.11,YFIR,general,train
4lh2,1.24,DELTA-1-PYRROLINE-5-CARBOXYLATE DEHYDROGENASE,general,train
4to8,1.24,"FRUCTOSE-1,6-BISPHOSPHATE ALDOLASE, CLASS II",general,train
4fci,1.26,ARGINASE-1,general,train
4fck,1.26,ARGINASE-1,general,train
4clp,1.27,ADENYLATE CYCLASE TYPE 10,general,train
1f9g,1.28,HYALURONATE LYASE,general,train
1a0t,1.3,SUCROSE-SPECIFIC PORIN,general,train
1b74,1.3,GLUTAMATE RACEMASE,general,train
2fah,1.3,PHOSPHOENOLPYRUVATE CARBOXYKINASE,general,train
5oxm,1.3,DI-OR TRIPEPTIDE:H+ SYMPORTER,general,train
2igw,1.31,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE 3,general,train
5mnc,1.31,CATIONIC TRYPSIN,general,train
5mny,1.31,CATIONIC TRYPSIN,general,train
5moo,1.31,CATIONIC TRYPSIN,general,train
2vl1,1.35,BETA-ALANINE SYNTHASE,general,train
3nm6,1.35,MTA/SAH NUCLEOSIDASE,general,train
1qpb,1.36,PYRUVATE DECARBOXYLASE (FORM B),general,train
1hty,1.4,ALPHA-MANNOSIDASE II,general,train
1o4l,1.4,TYROSINE-PROTEIN KINASE SRC,general,train
1o4m,1.4,TYROSINE-PROTEIN KINASE SRC,general,train
1o4n,1.4,TYROSINE-PROTEIN KINASE SRC,general,train
2hdq,1.4,BETA-LACTAMASE,general,train
3eor,1.4,"2-C-METHYL-D-ERYTHRITOL 2,4-CYCLODIPHOSPHATE",general,train
3e81,1.43,ACYLNEURAMINATE CYTIDYLYLTRANSFERASE,general,train
1ozv,1.44,"RIBULOSE-1,5 BISPHOSPHATE CARBOXYLASE/OXYGENASE",general,train
1utp,1.44,TRYPSINOGEN,general,train
5eb3,1.45,YFIR,general,train
1tnk,1.49,TRYPSIN,general,train
4bh4,1.49,HEMAGGLUTININ,general,train
5vqe,1.49,BETA-GLUCOSIDE PHOSPHORYLASE BGLX,general,train
4lh3,1.52,DELTA-1-PYRROLINE-5-CARBOXYLATE DEHYDROGENASE,general,train
5ct1,1.52,HEPATOCYTE GROWTH FACTOR,general,train
5ele,1.52,CHOLERA ENTEROTOXIN SUBUNIT B,general,train
3mwe,1.54,ATP-CITRATE SYNTHASE,general,train
4amw,1.55,"ALPHA-1,4-GLUCAN LYASE ISOZYME 1",general,train
1iig,1.57,TRIOSEPHOSPHATE ISOMERASE,general,train
3rup,1.57,BIOTIN CARBOXYLASE,general,train
5cs5,1.58,HEPATOCYTE GROWTH FACTOR,general,train
5ofv,1.58,D-3-PHOSPHOGLYCERATE DEHYDROGENASE,general,train
2b1q,1.59,HYPOTHETICAL PROTEIN SLR0953,general,train
1w8m,1.6,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A,general,train
3itc,1.6,RENAL DIPEPTIDASE,general,train
2it4,1.62,CARBONIC ANHYDRASE 1,general,train
1a7t,1.64,METALLO-BETA-LACTAMASE,general,train
4d63,1.64,FIBER KNOB DOMAIN,general,train
1hgj,1.66,"HEMAGGLUTININ, CHAIN HA1",general,train
1rdj,1.66,MANNOSE-BINDING PROTEIN-C,general,train
2o9r,1.68,BETA-GLUCOSIDASE B,general,train
4qsw,1.68,ATPASE FAMILY AAA DOMAIN-CONTAINING PROTEIN 2,general,train
2sfp,1.7,ALANINE RACEMASE,general,train
3gf2,1.7,146AA LONG HYPOTHETICAL TRANSCRIPTIONAL,general,train
3oay,1.7,"ANTIBODY FAB 2G12, LIGHT CHAIN",general,train
4tyb,1.7,POLYPROTEIN,general,train
6cex,1.7,HEMAGGLUTININ,general,train
6cf5,1.7,HEMAGGLUTININ,general,train
3g6m,1.71,CHITINASE,general,train
2hdr,1.72,BETA-LACTAMASE,general,train
3ern,1.72,"2-C-METHYL-D-ERYTHRITOL 2,4-CYCLODIPHOSPHATE",general,train
3vzg,1.72,ZYMOGEN GRANULE MEMBRANE PROTEIN 16,general,train
3zst,1.72,PUTATIVE GLUCANOHYDROLASE PEP1A GLGE ISOFORM 1,general,train
5y61,1.72,YFIR,general,train
1u2y,1.74,ALPHA-AMYLASE,general,train
4qsx,1.74,ATPASE FAMILY AAA DOMAIN-CONTAINING PROTEIN 2,general,train
5y62,1.74,YFIR,general,train
5ggj,1.75,"PROTEIN O-LINKED-MANNOSE BETA-1,2-N",general,train
4bgx,1.77,HEMAGGLUTININ,general,train
3f39,1.78,FERRITIN LIGHT CHAIN,general,train
5ggl,1.78,"PROTEIN O-LINKED-MANNOSE BETA-1,2-N",general,train
2zgm,1.79,ANTI-TUMOR LECTIN,general,train
1ga8,1.8,GALACTOSYL TRANSFERASE LGTC,general,train
3rxh,1.8,TRYPSIN,general,train
1af6,1.82,MALTOPORIN,general,train
1bra,1.82,TRYPSIN BETA,general,train
1d5r,1.82,PHOSPHOINOSITIDE PHOSPHOTASE PTEN,general,train
1y1m,1.82,N-METHYL-D-ASPARTATE RECEPTOR SUBUNIT 1,general,train
3eqb,1.82,DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN,general,train
4ahv,1.82,INTEGRASE,general,train
1rdn,1.84,MANNOSE-BINDING PROTEIN-C,general,train
1fd7,1.85,HEAT-LABILE ENTEROTOXIN B CHAIN,general,train
3khv,1.85,UROKINASE-TYPE PLASMINOGEN ACTIVATOR,general,train
1mwt,1.88,PBP2A,general,train
1tnl,1.88,TRYPSIN,general,train
2ay2,1.88,AROMATIC AMINO ACID AMINOTRANSFERASE,general,train
4x8s,1.89,COAGULATION FACTOR VIIA (HEAVY CHAIN),general,train
1f2p,1.9,AMINOPEPTIDASE,general,train
4mrh,1.9,CD44 ANTIGEN,general,train
1f2o,1.91,AMINOPEPTIDASE,general,train
1efi,1.92,HEAT-LABILE ENTEROTOXIN B CHAIN,general,train
3ehn,1.92,SUSD HOMOLOG,general,train
4bh3,1.92,HEMAGGLUTININ,general,train
2rjr,1.94,TYROSINE AMINOMUTASE,general,train
5nn4,1.94,LYSOSOMAL ALPHA-GLUCOSIDASE,general,train
4mrf,1.95,CD44 ANTIGEN,general,train
1tnj,1.96,TRYPSIN,general,train
2gga,1.96,3-PHOSPHOSHIKIMATE 1-CARBOXYVINYLTRANSFERASE,general,train
5oxn,1.96,DI-OR TRIPEPTIDE:H+ SYMPORTER,general,train
1wdq,1.98,BETA-AMYLASE,general,train
3i3d,1.99,BETA-GALACTOSIDASE,general,train
1gbt,2.0,TRYPSIN BETA,general,train
1ing,2.0,INFLUENZA A SUBTYPE N2 NEURAMINIDASE,general,train
2bmv,2.0,FLAVODOXIN,general,train
2hds,2.0,BETA-LACTAMASE,general,train
2r58,2.0,POLYCOMB PROTEIN SCM,refined,train
3c2f,2.0,NICOTINATE-NUCLEOTIDE PYROPHOSPHORYLASE,refined,train
3g2y,2.0,BETA-LACTAMASE CTX-M-9A,refined,train
3pce,2.0,"PROTOCATECHUATE 3,4-DIOXYGENASE",refined,train
3rv3,2.0,BIOTIN CARBOXYLASE,general,train
4awj,2.0,TRANSCRIPTION ELONGATION FACTOR B POLYPEPTIDE 2,general,train
4ctk,2.0,POLYPROTEIN,general,train
4kz5,2.0,BETA-LACTAMASE,general,train
4qsu,2.0,ATPASE FAMILY AAA DOMAIN-CONTAINING PROTEIN 2,refined,train
4qsv,2.0,ATPASE FAMILY AAA DOMAIN-CONTAINING PROTEIN 2,refined,train
4u58,2.0,IMPORTIN SUBUNIT ALPHA-1,general,train
4y4g,2.0,ENDOTHIAPEPSIN,general,train
6evq,2.0,MICROTUBULE-ASSOCIATED PROTEIN RP/EB FAMILY MEMBER 1,general,train
4ty8,2.03,POLYPROTEIN,general,train
5ekx,2.03,NS5 METHYLTRANSFERASE,general,train
5nzq,2.03,D-3-PHOSPHOGLYCERATE DEHYDROGENASE,general,train
2ks9,2.04,SUBSTANCE-P RECEPTOR,general,train
1jfh,2.05,ALPHA-AMYLASE,general,train
4e4a,2.05,CARBONIC ANHYDRASE 2,general,train
4ty9,2.05,POLYPROTEIN,general,train
4x8t,2.05,COAGULATION FACTOR VIIA (HEAVY CHAIN),general,train
5eiw,2.05,NS5 METHYLTRANSFERASE,general,train
1qq9,2.06,AMINOPEPTIDASE,general,train
1rdi,2.06,MANNOSE-BINDING PROTEIN-C,general,train
2zg3,2.06,SIALIC ACID-BINDING IG-LIKE LECTIN 5,general,train
4u54,2.06,IMPORTIN SUBUNIT ALPHA-1,refined,train
3ao4,2.07,HIV-1 INTEGRASE,refined,train
4b0c,2.07,3-HYDROXYDECANOYL-[ACYL-CARRIER-PROTEIN] DEHYDRATAS,general,train
3rxp,2.08,TRYPSIN,general,train
5tyh,2.08,UDP-N-ACETYLBACILLOSAMINE N-ACETYLTRANSFERASE,general,train
1njj,2.1,ORNITHINE DECARBOXYLASE,general,train
2zg1,2.1,SIALIC ACID-BINDING IG-LIKE LECTIN 5,general,train
4aml,2.1,AGGLUTININ ISOLECTIN 1,general,train
4cs9,2.1,M2-1,refined,train
3uf9,2.11,ARYLDIALKYLPHOSPHATASE,general,train
1qx1,2.12,ALPHA-MANNOSIDASE II,general,train
2w8w,2.12,SERINE PALMITOYLTRANSFERASE,refined,train
3gv9,2.12,BETA-LACTAMASE,refined,train
1p2g,2.13,GLYCOGEN PHOSPHORYLASE,general,train
1uxb,2.15,FIBER PROTEIN,general,train
3rxg,2.15,TRYPSIN,general,train
4b0j,2.15,3-HYDROXYDECANOYL-[ACYL-CARRIER-PROTEIN] DEHYDRATAS,general,train
4q90,2.15,CARBONIC ANHYDRASE 2,refined,train
5cs3,2.15,HEPATOCYTE GROWTH FACTOR,refined,train
6fap,2.15,BROMODOMAIN ADJACENT TO ZINC FINGER DOMAIN PROTEIN 2A,general,train
6fi1,2.15,BROMODOMAIN ADJACENT TO ZINC FINGER DOMAIN PROTEIN 2B,general,train
2ay9,2.16,AROMATIC AMINO ACID AMINOTRANSFERASE,general,train
4tim,2.16,TRIOSEPHOSPHATE ISOMERASE,refined,train
5fe6,2.16,HISTONE ACETYLTRANSFERASE KAT2B,refined,train
6ghj,2.16,DI-OR TRIPEPTIDE:H+ SYMPORTER,refined,train
3gqz,2.17,BETA-LACTAMASE,refined,train
4y3j,2.17,ENDOTHIAPEPSIN,refined,train
5oxk,2.17,DI-OR TRIPEPTIDE:H+ SYMPORTER,refined,train
5z5f,2.17,BETA-XYLOSIDASE,refined,train
6gmx,2.17,ELONGIN-B,general,train
